วันที่,วิชาสอน,รายละเอียด,รูปภาพ,เทอม,สัปดาห์
5/5/2569,-,จัดเตรียมความพร้อมของห้องเรียนพร้อมทั้งตรวจสอบตารางสอน รายวิชา ของคุณครูและของนักเรียน,1IAM8k-4EkiTiytDSqoXoHfooQHkDpd6l,1,1
6/5/2569,-,ประชุมครู ครั้งที่ 3/2569 โดยได้มีการแนะนำตัวในที่ประชุม,1mQ9ekAacA3hJ81ZzXjTiXklG0w6tSPra,1,1
7/5/2569,-,Setup Switch บริเวณตึก 5 ของวิทยาลัยเพื่อเพิ่มพอร์ตการเชื่อมต่อให้เพียงพอ,1NOjgfI058TagtFZyVr17r9sjvyaiGHmc,1,1
8/5/2569,-,"เข้าร่วมอบรม ""หนี ซ่อน สู้"" เพื่อเอาชีวิตรอดเมื่อเผชิญเหตุการณ์รุนแรง",1_7bh-XVNthmPqeJ57mR_N8dmao5nNtWJ,1,1
11/5/2569,-,เตรียมเนื้อหาการสอนในรายวิชาการใช้เทคโนโลยีดิจิทัลเพื่ออาชีพ,1mbFQqNqAvvacQXQtwCUM5NwIll7GlpWC,1,2
12/5/2569,-,จัดเตรียมห้องเรียน ณ ห้อง 713 ได้ทำความสะอาดห้องเรียนและลง Windows ใหม่จำนวน 23 เครื่อง,1IZq-y8tc6KcDBu_LYyEFvqXn-Dvc44rn,1,2
13/5/2569,-,"วันหยุดราชการเนื่องจาก ""วันพืชมงคล""",1obuSKK9xJ864-cCkRLSNvcmH1grKhN61,1,2
14/5/2569,-,ปฐมนิเทศนักศึกษาใหม่ ในระดับชั้น ปวช.1และ ปวส.1,195ZaUQ1Sq-gt6NrMOO0zGOVqdyVnbqiO,1,2
15/5/2569,-,จัดเตรียมห้องเรียน ณ ห้อง 132 ได้มีการลง Windows ใหม่ จำนวน 20 เครื่อง,1Qbgja5iciYRG07XyLsTRhvyAwtW8JKcR,1,2
18/5/2569,กิจกรรมเสริมสร้างสุจริต จิตอาสา,ดูแลนักเรียน ในรายวิชากิจกรรมเสริมสร้างสุจริต จิตอาสา ให้นักเรียนสมัครเข้าชมรมวิชาชีพ,1WbpzKroBPZl3f1hqodHyXJeLqMjgQayP,1,3
19/5/2569,การใช้เทคโนโลยีดิจิทัลเพื่ออาชีพ,ดูแลนักเรียนคาบ HomeRoom และสอนวิชาการใช้เทคโนโลยีดิจิทัลเพื่ออาชีพได้ทำการสอนหน่วยที่1 พร้อมทำแบบทดสอบในห้องเรียน,1Rym88kstrZO00sIOFjWULpN2Iyjeibyd,1,3
20/5/2569,การออกแบบส่วนติดต่อผู้ใช้,"สอนรายวิชาการออกแบบส่วนติดต่อผู้ใช้ สอนบทนำของรายวิชาและพานักเรียนทำกิจกรรม ""Crazy 8S"" เพื่อให้นักเรียนออกแบบแอปในระยะเวลา 8 นาทีพร้อมสุ่มนักเรียนนำเสนอหน้าชั้นเรียน",1XHrqJ-IOa65OBBpgngZbXrfOvzsw8cF9,1,3
21/5/2569,-,แนะนำตัวหน้าเสาธงบริเวณอาคารโดมช่วงเช้าและแก้ไขปัญหาสายแลนใช้งานไม่ได้ ณ ห้องงานวิจัย,17S8uRh07GjxBqTK9Ksb6b3Uy99LH2gH9,1,3
22/5/2569,-,ดูแลนักเรียนนักศึกษาการเข้าร่วมโครงการเสริมสร้างคุณธรรม จริยธรรม นำชีวิตสู่จิตอาสา ณ วัดไผ่ล้อม,1-aB_JOLY5ykJiOw9_Cd9xjmkkBq3t1KG,1,3
25/5/2569,กิจกรรมเสริมสร้างสุจริต จิตอาสา,จัดแต่งตั้งตำแหน่งประธานชมรมวิชาชีพ พร้อมคณะและจัดแต่งประธาน อวท.,1SrTpCbhr86qkt21zIfs4p7cDiQ7o-qJV,1,4
26/5/2569,การใช้เทคโนโลยีดิจิทัลเพื่ออาชีพ,สอนวิชาเทคโนโลยีดิจิทัลเพื่ออาชีพ เรื่อง เทคโนโลยีอุปกรณ์เคลื่อนที่และแอปพลิเคชันและการจัดการข้อมูลและบริการคลาวด์,1neKlzLbol4FRqE0Jr7tIwkMLppSO0B3H,1,4
27/5/2569,การออกแบบส่วนติดต่อผู้ใช้,สอนวิชาการออกแบบส่วนติดต่อผู้ใช้ เรื่อง ประเภทความต้องการของผู้ใช้,1xf_Tu-azlxVhD6F5cuEwsvP7aprFUU80,1,4
28/5/2569,-,ดำเนินการติดตั้ง Access point ณ ห้อง 541 (อาคาร5) ,1jOUNGIU9GqpEXQYsnxyraai-jUD0OBFx,1,4
29/5/2569,-,ดำเนินการแก้ไขต่อสาย HDMI แล้วไม่ส่งภาพไปยังทีวี ณ ห้อง 224 (ห้องภาษาไทย),1cYy0kpbxcpZ2x3IGqZ_doP5HHkINO_xK,1,4
1/6/2569,-,วันหยุดข้าราชการ เนื่องจากวันวิสาขบูชา,1ZcVBQJH_lnXhbW8gpLaNcxmd-oNXQsqr,1,5
2/6/2569,การใช้เทคโนโลยีดิจิทัลเพื่ออาชีพ,การสอนออนไลน์วิชาการใช้เทคโนโลยีดิจิทัลเพื่ออาชีพ ในเรื่องการสืบค้นสารสนเทศและการใช้งานอินเทอร์เน็ต,1wZ4kSrHTUg3vYCqOhbFpyWHn2eaobdQj,1,5
3/6/2569,-,วันหยุดราชการ เนื่องจากเป็นวันเฉลิมพระชนมพรรษา สมเด็จพระนางเจ้าสุทิดา พัชรสุธาพิมลลักษณ พระบรมราชินี,1J9X2F1cOfA1igA4otccYXX4Fenf4tkB2,1,5
4/6/2569,-,ดูแลนักเรียน นักศึกษาถ่ายรูปบัตรประจำตัวนักเรียน ณ หอประชุมเฉลิมพระเกียรติฯ,1qvhz-pnFZuzZl2RPBThls1IlSdWWjnDe,1,5
