วันที่,วิชาสอน,รายละเอียด,รูปภาพ,เทอม,สัปดาห์
5/5/2569,-,จัดเตรียมห้องเรียน และตรวจตารางสอน,1tJRWK6FdGF17MJhR4iu-seGfMZ5Vgql_,1,1
6/5/2569,-,ประชุมครู ครั้งที่ 3/2569,1mQ9ekAacA3hJ81ZzXjTiXklG0w6tSPra,1,1
7/5/2569,-,Setup Switch ตึก 5,1NOjgfI058TagtFZyVr17r9sjvyaiGHmc,1,1
8/5/2569,-,เข้าร่วมอบรม,1_7bh-XVNthmPqeJ57mR_N8dmao5nNtWJ,1,1
11/5/2569,-,เตรียมเนื้อหาการสอน,13B5EGKQCrmbzTYY2RdaaFBpWqpUfe1CY,1,2
12/5/2569,-,จัดเตรียมห้องเรียน,1IZq-y8tc6KcDBu_LYyEFvqXn-Dvc44rn,1,2
13/5/2569,-,"วันหยุดราชการเนื่องจาก ""วันพืชมงคล""",1obuSKK9xJ864-cCkRLSNvcmH1grKhN61,1,2
14/5/2569,-,ปฐมนิเทศนักศึกษาใหม่ ปวช.1 ปวส.1,1IYqAKRXyMBS46udtGpHoR89oxoPMFLBP,1,2
15/5/2569,-,ประชุุมการใช้งานระบบเรียนออนไลน์,1wru_nQybIQEDkXii1uJfip-pX5POqSIQ,1,2
18/5/2569,-,ดูแลนักเรียนในการสมัครเข้าชมรมวิชาชีพ,1FYr0Wekp2CgnLhzW3O4EuYqb-vGcyoqf,1,3
19/5/2569,ระบบปฏิบัติการเครื่องแม่ข่าย,สอนในเรื่องบทนำและเบื้องต้นในการใช้งานอุปกรณ์เกี่ยวกับเครือข่าย,1WxQEjiF7REzMOyPth5BFRkM0IbKOdhrS,1,3
20/5/2569,การเขียนโปรแกรมคอมพิวเตอร์,"สอนในหัวข้อ 1.1 ความรู้เกี่ยวกับโปรแกรมและภาษาโปรแกรม, ขั้นตอนการพัฒนาโปรแกรม และทำใบงานที่ 1.1",,1,3
21/5/2569,-,แนะนำตัวหน้าเสาธงบริเวณอาคารโดมช่วงเช้าและแก้ไขปัญหาสายแลนใช้งานไม่ได้ ณ ห้องงานวิจัย,1mQvScComMryUYeXlDgcvSGSaq_bxwN0v,1,3
22/5/2569,ระบบปฏิบัติการเครื่องแม่ข่าย,สอนในหัวข้อ การต่อสายแลนหัว RJ45 (Cat5e),1s71J3rkC_uOn9OOwXs2IRQy-SsUarsfV,1,3
25/5/2569,-,จัดแต่งตั้งตำแหน่งประธานชมรมวิชาชีพ พร้อมคณะและจัดแต่งประธาน อวท.,1ODiuXjaBgpKnNlx62uYDdghTU09NYfHQ,1,4
26/5/2569,ระบบปฏิบัติการเครื่องแม่ข่าย,สอนในในหัวข้อเกี่ยวกับระบบปฏิบัติการ Linux,1OR3nMbhaOk8eb7ICwkob-o6Iixu-q2o5,1,4
27/5/2569,การเขียนโปรแกรมคอมพิวเตอร์,สอนในหัวข้อ 2.1 ความหมายของอัลกอริทึม 2.2 การเขียนผังงาน (Flowchart) และทำใบงานที่ 2.1,,1,4
28/5/2569,-,ดำเนินการติดตั้ง Access point ณ ห้อง 541 (อาคาร5),1jOUNGIU9GqpEXQYsnxyraai-jUD0OBFx,1,4
29/5/2569,ระบบปฏิบัติการเครื่องแม่ข่าย,สอนในหัวข้อการใช้งาน Linux CLI Command,1-LzLlXIGT4cN5wd2kfhKe1vqy5JC3lZL,1,4
1/6/2569,-,วันหยุดข้าราชการ เนื่องจากวันวิสาขบูชา,1ZcVBQJH_lnXhbW8gpLaNcxmd-oNXQsqr,1,5
2/6/2569,ระบบปฏิบัติการเครื่องแม่ข่าย,สอนในหัวข้อหลักการของ DHCP และ DNS,1FBHKFIHerIRb3kG4seSBJy6QY8_LjrkW,1,5
3/6/2569,-,วันหยุดราชการ เนื่องจากเป็นวันเฉลิมพระชนมพรรษา สมเด็จพระนางเจ้าสุทิดา พัชรสุธาพิมลลักษณ พระบรมราชินี,1J9X2F1cOfA1igA4otccYXX4Fenf4tkB2,1,5
4/6/2569,-,ปฏิบัติหน้าที่ครูเวรดูแลนักเรียน,1qvhz-pnFZuzZl2RPBThls1IlSdWWjnDe,1,5
5/6/2569,ระบบปฏิบัติการเครื่องแม่ข่าย,สอนทบทวนและลงมือทดลองใช้งานจริงบน Linux Ubuntu 26.04 LTS,,1,5
